container,operation,size,run,time_us
std::vector,push_back,10000,1,92
MyVector,push_back,10000,1,47
std::vector,operator[],10000,1,24
MyVector,operator[],10000,1,28
std::vector,at,10000,1,65
MyVector,at,10000,1,27
std::vector,iterate,10000,1,85
MyVector,iterate,10000,1,23
std::vector,copy_ctor,10000,1,17
MyVector,copy_ctor,10000,1,40
std::vector,move_ctor,10000,1,0
MyVector,move_ctor,10000,1,18
std::vector,front_back,10000,1,0
MyVector,front_back,10000,1,0
std::vector,resize,10000,1,10
MyVector,resize,10000,1,54
std::vector,clear,10000,1,1
MyVector,clear,10000,1,43
std::vector,insert_one,10000,1,5
MyVector,insert_one,10000,1,131
std::vector,erase_one,10000,1,2
MyVector,erase_one,10000,1,72
std::vector,compare_eq,10000,1,0
MyVector,compare_eq,10000,1,18
std::vector,swap,10000,1,0
MyVector,swap,10000,1,48
std::vector,push_back,10000,2,67
MyVector,push_back,10000,2,52
std::vector,operator[],10000,2,19
MyVector,operator[],10000,2,19
std::vector,at,10000,2,41
MyVector,at,10000,2,25
std::vector,iterate,10000,2,50
MyVector,iterate,10000,2,17
std::vector,copy_ctor,10000,2,0
MyVector,copy_ctor,10000,2,34
std::vector,move_ctor,10000,2,0
MyVector,move_ctor,10000,2,19
std::vector,front_back,10000,2,0
MyVector,front_back,10000,2,0
std::vector,resize,10000,2,10
MyVector,resize,10000,2,46
std::vector,clear,10000,2,0
MyVector,clear,10000,2,35
std::vector,insert_one,10000,2,2
MyVector,insert_one,10000,2,88
std::vector,erase_one,10000,2,1
MyVector,erase_one,10000,2,58
std::vector,compare_eq,10000,2,0
MyVector,compare_eq,10000,2,16
std::vector,swap,10000,2,0
MyVector,swap,10000,2,42
std::vector,push_back,10000,3,69
MyVector,push_back,10000,3,47
std::vector,operator[],10000,3,23
MyVector,operator[],10000,3,18
std::vector,at,10000,3,41
MyVector,at,10000,3,24
std::vector,iterate,10000,3,49
MyVector,iterate,10000,3,17
std::vector,copy_ctor,10000,3,0
MyVector,copy_ctor,10000,3,33
std::vector,move_ctor,10000,3,0
MyVector,move_ctor,10000,3,19
std::vector,front_back,10000,3,0
MyVector,front_back,10000,3,0
std::vector,resize,10000,3,9
MyVector,resize,10000,3,49
std::vector,clear,10000,3,0
MyVector,clear,10000,3,34
std::vector,insert_one,10000,3,2
MyVector,insert_one,10000,3,85
std::vector,erase_one,10000,3,1
MyVector,erase_one,10000,3,61
std::vector,compare_eq,10000,3,0
MyVector,compare_eq,10000,3,16
std::vector,swap,10000,3,0
MyVector,swap,10000,3,40
std::vector,push_back,10000,4,59
MyVector,push_back,10000,4,48
std::vector,operator[],10000,4,18
MyVector,operator[],10000,4,18
std::vector,at,10000,4,41
MyVector,at,10000,4,24
std::vector,iterate,10000,4,53
MyVector,iterate,10000,4,17
std::vector,copy_ctor,10000,4,0
MyVector,copy_ctor,10000,4,33
std::vector,move_ctor,10000,4,0
MyVector,move_ctor,10000,4,18
std::vector,front_back,10000,4,0
MyVector,front_back,10000,4,0
std::vector,resize,10000,4,9
MyVector,resize,10000,4,51
std::vector,clear,10000,4,0
MyVector,clear,10000,4,29
std::vector,insert_one,10000,4,2
MyVector,insert_one,10000,4,86
std::vector,erase_one,10000,4,1
MyVector,erase_one,10000,4,57
std::vector,compare_eq,10000,4,0
MyVector,compare_eq,10000,4,15
std::vector,swap,10000,4,0
MyVector,swap,10000,4,40
std::vector,push_back,10000,5,57
MyVector,push_back,10000,5,47
std::vector,operator[],10000,5,18
MyVector,operator[],10000,5,18
std::vector,at,10000,5,47
MyVector,at,10000,5,24
std::vector,iterate,10000,5,53
MyVector,iterate,10000,5,17
std::vector,copy_ctor,10000,5,0
MyVector,copy_ctor,10000,5,33
std::vector,move_ctor,10000,5,0
MyVector,move_ctor,10000,5,15
std::vector,front_back,10000,5,0
MyVector,front_back,10000,5,0
std::vector,resize,10000,5,9
MyVector,resize,10000,5,52
std::vector,clear,10000,5,0
MyVector,clear,10000,5,39
std::vector,insert_one,10000,5,2
MyVector,insert_one,10000,5,86
std::vector,erase_one,10000,5,1
MyVector,erase_one,10000,5,61
std::vector,compare_eq,10000,5,0
MyVector,compare_eq,10000,5,16
std::vector,swap,10000,5,0
MyVector,swap,10000,5,36
std::vector,push_back,100000,1,717
MyVector,push_back,100000,1,512
std::vector,operator[],100000,1,234
MyVector,operator[],100000,1,188
std::vector,at,100000,1,406
MyVector,at,100000,1,246
std::vector,iterate,100000,1,475
MyVector,iterate,100000,1,173
std::vector,copy_ctor,100000,1,111
MyVector,copy_ctor,100000,1,319
std::vector,move_ctor,100000,1,0
MyVector,move_ctor,100000,1,201
std::vector,front_back,100000,1,0
MyVector,front_back,100000,1,0
std::vector,resize,100000,1,205
MyVector,resize,100000,1,499
std::vector,clear,100000,1,16
MyVector,clear,100000,1,320
std::vector,insert_one,100000,1,143
MyVector,insert_one,100000,1,1012
std::vector,erase_one,100000,1,15
MyVector,erase_one,100000,1,623
std::vector,compare_eq,100000,1,7
MyVector,compare_eq,100000,1,163
std::vector,swap,100000,1,8
MyVector,swap,100000,1,431
std::vector,push_back,100000,2,658
MyVector,push_back,100000,2,434
std::vector,operator[],100000,2,202
MyVector,operator[],100000,2,189
std::vector,at,100000,2,405
MyVector,at,100000,2,263
std::vector,iterate,100000,2,492
MyVector,iterate,100000,2,173
std::vector,copy_ctor,100000,2,95
MyVector,copy_ctor,100000,2,303
std::vector,move_ctor,100000,2,0
MyVector,move_ctor,100000,2,170
std::vector,front_back,100000,2,0
MyVector,front_back,100000,2,0
std::vector,resize,100000,2,97
MyVector,resize,100000,2,482
std::vector,clear,100000,2,8
MyVector,clear,100000,2,358
std::vector,insert_one,100000,2,24
MyVector,insert_one,100000,2,883
std::vector,erase_one,100000,2,18
MyVector,erase_one,100000,2,589
std::vector,compare_eq,100000,2,6
MyVector,compare_eq,100000,2,170
std::vector,swap,100000,2,8
MyVector,swap,100000,2,395
std::vector,push_back,100000,3,656
MyVector,push_back,100000,3,472
std::vector,operator[],100000,3,209
MyVector,operator[],100000,3,197
std::vector,at,100000,3,407
MyVector,at,100000,3,246
std::vector,iterate,100000,3,495
MyVector,iterate,100000,3,182
std::vector,copy_ctor,100000,3,128
MyVector,copy_ctor,100000,3,345
std::vector,move_ctor,100000,3,0
MyVector,move_ctor,100000,3,170
std::vector,front_back,100000,3,0
MyVector,front_back,100000,3,0
std::vector,resize,100000,3,98
MyVector,resize,100000,3,490
std::vector,clear,100000,3,8
MyVector,clear,100000,3,338
std::vector,insert_one,100000,3,22
MyVector,insert_one,100000,3,887
std::vector,erase_one,100000,3,15
MyVector,erase_one,100000,3,566
std::vector,compare_eq,100000,3,6
MyVector,compare_eq,100000,3,168
std::vector,swap,100000,3,8
MyVector,swap,100000,3,429
std::vector,push_back,100000,4,627
MyVector,push_back,100000,4,491
std::vector,operator[],100000,4,201
MyVector,operator[],100000,4,195
std::vector,at,100000,4,412
MyVector,at,100000,4,247
std::vector,iterate,100000,4,485
MyVector,iterate,100000,4,178
std::vector,copy_ctor,100000,4,104
MyVector,copy_ctor,100000,4,356
std::vector,move_ctor,100000,4,0
MyVector,move_ctor,100000,4,185
std::vector,front_back,100000,4,0
MyVector,front_back,100000,4,0
std::vector,resize,100000,4,117
MyVector,resize,100000,4,513
std::vector,clear,100000,4,9
MyVector,clear,100000,4,358
std::vector,insert_one,100000,4,26
MyVector,insert_one,100000,4,888
std::vector,erase_one,100000,4,16
MyVector,erase_one,100000,4,623
std::vector,compare_eq,100000,4,6
MyVector,compare_eq,100000,4,175
std::vector,swap,100000,4,9
MyVector,swap,100000,4,429
std::vector,push_back,100000,5,650
MyVector,push_back,100000,5,510
std::vector,operator[],100000,5,209
MyVector,operator[],100000,5,202
std::vector,at,100000,5,437
MyVector,at,100000,5,254
std::vector,iterate,100000,5,527
MyVector,iterate,100000,5,181
std::vector,copy_ctor,100000,5,105
MyVector,copy_ctor,100000,5,354
std::vector,move_ctor,100000,5,0
MyVector,move_ctor,100000,5,171
std::vector,front_back,100000,5,0
MyVector,front_back,100000,5,0
std::vector,resize,100000,5,115
MyVector,resize,100000,5,499
std::vector,clear,100000,5,8
MyVector,clear,100000,5,358
std::vector,insert_one,100000,5,27
MyVector,insert_one,100000,5,893
std::vector,erase_one,100000,5,16
MyVector,erase_one,100000,5,631
std::vector,compare_eq,100000,5,6
MyVector,compare_eq,100000,5,173
std::vector,swap,100000,5,8
MyVector,swap,100000,5,459
MyArray1000,ctor_default,1000,1,1
MyArray1000,ctor_init_list,1000,1,5
MyArray1000,operator[],1000,1,1
MyArray1000,at,1000,1,2
MyArray1000,iterate,1000,1,2
MyArray1000,copy_ctor,1000,1,1
MyArray1000,move_ctor,1000,1,1
MyArray1000,swap,1000,1,5
MyArray1000,compare_eq,1000,1,1
MyArray1000,compare_three_way,1000,1,1
MyArray1000,ctor_default,1000,2,1
MyArray1000,ctor_init_list,1000,2,4
MyArray1000,operator[],1000,2,1
MyArray1000,at,1000,2,2
MyArray1000,iterate,1000,2,2
MyArray1000,copy_ctor,1000,2,2
MyArray1000,move_ctor,1000,2,1
MyArray1000,swap,1000,2,5
MyArray1000,compare_eq,1000,2,1
MyArray1000,compare_three_way,1000,2,1
MyArray1000,ctor_default,1000,3,2
MyArray1000,ctor_init_list,1000,3,4
MyArray1000,operator[],1000,3,1
MyArray1000,at,1000,3,2
MyArray1000,iterate,1000,3,2
MyArray1000,copy_ctor,1000,3,2
MyArray1000,move_ctor,1000,3,1
MyArray1000,swap,1000,3,5
MyArray1000,compare_eq,1000,3,1
MyArray1000,compare_three_way,1000,3,1
MyArray1000,ctor_default,1000,4,2
MyArray1000,ctor_init_list,1000,4,4
MyArray1000,operator[],1000,4,1
MyArray1000,at,1000,4,2
MyArray1000,iterate,1000,4,2
MyArray1000,copy_ctor,1000,4,2
MyArray1000,move_ctor,1000,4,1
MyArray1000,swap,1000,4,5
MyArray1000,compare_eq,1000,4,1
MyArray1000,compare_three_way,1000,4,1
MyArray1000,ctor_default,1000,5,1
MyArray1000,ctor_init_list,1000,5,4
MyArray1000,operator[],1000,5,1
MyArray1000,at,1000,5,2
MyArray1000,iterate,1000,5,1
MyArray1000,copy_ctor,1000,5,1
MyArray1000,move_ctor,1000,5,1
MyArray1000,swap,1000,5,5
MyArray1000,compare_eq,1000,5,1
MyArray1000,compare_three_way,1000,5,1
MyArray5000,ctor_default,5000,1,11
MyArray5000,ctor_init_list,5000,1,24
MyArray5000,operator[],5000,1,8
MyArray5000,at,5000,1,10
MyArray5000,iterate,5000,1,10
MyArray5000,copy_ctor,5000,1,9
MyArray5000,move_ctor,5000,1,8
MyArray5000,swap,5000,1,26
MyArray5000,compare_eq,5000,1,7
MyArray5000,compare_three_way,5000,1,8
MyArray5000,ctor_default,5000,2,8
MyArray5000,ctor_init_list,5000,2,22
MyArray5000,operator[],5000,2,8
MyArray5000,at,5000,2,10
MyArray5000,iterate,5000,2,10
MyArray5000,copy_ctor,5000,2,8
MyArray5000,move_ctor,5000,2,7
MyArray5000,swap,5000,2,26
MyArray5000,compare_eq,5000,2,7
MyArray5000,compare_three_way,5000,2,8
MyArray5000,ctor_default,5000,3,9
MyArray5000,ctor_init_list,5000,3,21
MyArray5000,operator[],5000,3,7
MyArray5000,at,5000,3,10
MyArray5000,iterate,5000,3,10
MyArray5000,copy_ctor,5000,3,9
MyArray5000,move_ctor,5000,3,8
MyArray5000,swap,5000,3,26
MyArray5000,compare_eq,5000,3,7
MyArray5000,compare_three_way,5000,3,7
MyArray5000,ctor_default,5000,4,9
MyArray5000,ctor_init_list,5000,4,28
MyArray5000,operator[],5000,4,8
MyArray5000,at,5000,4,10
MyArray5000,iterate,5000,4,8
MyArray5000,copy_ctor,5000,4,9
MyArray5000,move_ctor,5000,4,8
MyArray5000,swap,5000,4,26
MyArray5000,compare_eq,5000,4,8
MyArray5000,compare_three_way,5000,4,7
MyArray5000,ctor_default,5000,5,8
MyArray5000,ctor_init_list,5000,5,25
MyArray5000,operator[],5000,5,7
MyArray5000,at,5000,5,10
MyArray5000,iterate,5000,5,10
MyArray5000,copy_ctor,5000,5,8
MyArray5000,move_ctor,5000,5,9
MyArray5000,swap,5000,5,29
MyArray5000,compare_eq,5000,5,7
MyArray5000,compare_three_way,5000,5,8
